Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1340875,-,-,-,42.37,-71.02,-5,14,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),
2018,1,1,0,0,0,0,0,0,0,0,0,-16.8,160.47,0,0.11,2.1,0.2,312,91.13,-15.700000000000001,1022,0.0000,0.0000,N/A
2018,1,1,0,30,0,0,0,0,0,0,0,-16.8,158.72,0,0.11,2,0.2,312,93.44,-16,1022,0.0000,0.0000,N/A
2018,1,1,1,0,0,0,0,0,0,0,0,-17.1,155.46,0,0.11,2,0.2,312,92.89,-16.2,1022,0.0000,0.0000,N/A
2018,1,1,1,30,0,0,0,0,0,0,0,-17.1,151.23,0,0.11,2,0.2,313,94.46000000000001,-16.400000000000002,1022,0.0000,0.0000,N/A
2018,1,1,2,0,0,0,0,0,0,0,0,-17.2,146.4,0,0.11,2,0.2,313,94.57000000000001,-16.5,1023,0.0000,0.0000,N/A
2018,1,1,2,30,0,0,0,0,0,0,0,-17.2,141.22,0,0.11,2,0.2,314,95.37,-16.6,1023,0.0000,0.0000,N/A
2018,1,1,3,0,0,0,0,0,0,0,0,-17.3,135.83,0,0.11,2,0.2,314,95,-16.7,1023,0.0000,0.0000,N/A
2018,1,1,3,30,0,0,0,0,0,0,0,-17.3,130.34,0,0.11,2,0.2,315,95.8,-16.8,1023,0.0000,0.0000,N/A
2018,1,1,4,0,0,0,0,0,0,0,0,-17.5,124.81,0,0.11,2,0.2,316,95.93,-17,1023,0.0000,0.0000,N/A
2018,1,1,4,30,0,0,0,0,0,0,0,-17.5,119.27,0,0.11,2,0.2,316,96.74000000000001,-17.1,1023,0.0000,0.0000,N/A
2018,1,1,5,0,0,0,0,0,0,0,0,-17.6,113.79,0,0.11,2,0.2,317,96.54,-17.2,1023,0.0000,0.0000,N/A
2018,1,1,5,30,0,0,0,0,0,0,0,-17.6,108.38,0,0.11,2.1,0.2,317,97.36,-17.3,1023,0.0000,0.0000,N/A
2018,1,1,6,0,0,0,0,0,0,0,0,-17.7,103.08,0,0.11,2.1,0.2,317,97.35000000000001,-17.400000000000002,1023,0.0000,0.0000,N/A
2018,1,1,6,30,0,0,0,0,0,0,0,-17.7,97.93,0,0.11,2.1,0.2,316,98.27,-17.5,1024,0.0000,0.0000,N/A
2018,1,1,7,0,0,0,0,0,0,0,0,-17.8,92.97,0,0.11,2.1,0.2,316,97.8,-17.5,1024,0.0000,0.0000,N/A
2018,1,1,7,30,16,264,26,16,289,27,0,-17.8,87.9,21,0.11,2.1,0.2,316,93.77,-17,1024,0.0000,0.0000,N/A
2018,1,1,8,0,30,558,92,30,589,95,0,-17.5,83.62,18,0.11,2.1,0.2,316,91.91,-16.5,1024,0.0000,0.0000,N/A
2018,1,1,8,30,39,662,159,39,724,170,0,-17.5,79.55,32,0.11,2.1,0.2,317,87.42,-15.9,1024,7.5784,5.7782,N/A
2018,1,1,9,0,49,733,228,45,808,243,0,-17.2,75.85000000000001,14,0.11,2.1,0.2,317,85.42,-15.3,1024,11.0695,8.4938,N/A
2018,1,1,9,30,52,852,307,51,862,309,0,-17.2,72.59,0,0.11,2.1,0.2,317,81.29,-14.700000000000001,1024,15.3467,11.8416,N/A
2018,1,1,10,0,58,876,360,56,898,365,0,-16.8,69.85000000000001,0,0.11,2.1,0.2,317,79.52,-14,1024,18.4545,14.2937,N/A
