Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1340489,-,-,-,42.37,-71.06,-5,15,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),
2018,1,1,0,0,0,0,0,0,0,0,0,-17.7,160.47,0,0.48,1.5,0.2,312,88.34,-16.2,1020,0.0000,0.0000,N/A
2018,1,1,0,30,0,0,0,0,0,0,4,-17.7,158.74,0,0.48,1.5,0.2,312,90.58,-16.5,1020,0.0000,0.0000,N/A
2018,1,1,1,0,0,0,0,0,0,0,8,-18,155.49,0,0.48,1.5,0.2,312,90.45,-16.8,1021,0.0000,0.0000,N/A
2018,1,1,1,30,0,0,0,0,0,0,8,-18,151.26,0,0.48,1.5,0.2,313,91.22,-16.900000000000002,1021,0.0000,0.0000,N/A
2018,1,1,2,0,0,0,0,0,0,0,8,-18.1,146.44,0,0.48,1.5,0.2,313,91.85000000000001,-17.1,1021,0.0000,0.0000,N/A
2018,1,1,2,30,0,0,0,0,0,0,8,-18.1,141.26,0,0.48,1.5,0.2,314,92.62,-17.2,1021,0.0000,0.0000,N/A
2018,1,1,3,0,0,0,0,0,0,0,0,-18.3,135.88,0,0.48,1.5,0.2,314,92.12,-17.3,1021,0.0000,0.0000,N/A
2018,1,1,3,30,0,0,0,0,0,0,0,-18.3,130.39000000000001,0,0.48,1.5,0.2,315,93.69,-17.5,1021,0.0000,0.0000,N/A
2018,1,1,4,0,0,0,0,0,0,0,0,-18.5,124.85000000000001,0,0.48,1.5,0.2,316,92.9,-17.6,1021,0.0000,0.0000,N/A
2018,1,1,4,30,0,0,0,0,0,0,0,-18.5,119.32000000000001,0,0.48,1.5,0.2,316,93.69,-17.7,1021,0.0000,0.0000,N/A
2018,1,1,5,0,0,0,0,0,0,0,0,-18.6,113.83,0,0.48,1.5,0.2,317,94.18,-17.900000000000002,1021,0.0000,0.0000,N/A
2018,1,1,5,30,0,0,0,0,0,0,0,-18.6,108.42,0,0.48,1.5,0.2,317,95.08,-18,1022,0.0000,0.0000,N/A
2018,1,1,6,0,0,0,0,0,0,0,0,-18.7,103.12,0,0.48,1.5,0.2,317,94.95,-18.1,1022,0.0000,0.0000,N/A
2018,1,1,6,30,0,0,0,0,0,0,0,-18.7,97.97,0,0.48,1.5,0.2,316,94.95,-18.1,1022,0.0000,0.0000,N/A
2018,1,1,7,0,0,0,0,0,0,0,0,-18.8,93,0,0.48,1.5,0.2,316,94.44,-18.1,1022,0.0000,0.0000,N/A
2018,1,1,7,30,15,209,23,17,290,27,8,-18.8,87.93,50,0.48,1.5,0.2,316,90.52,-17.6,1022,0.0000,0.0000,N/A
2018,1,1,8,0,32,441,81,30,590,95,8,-18.400000000000002,83.66,64,0.48,1.5,0.2,316,88.53,-17,1023,0.0000,0.0000,N/A
2018,1,1,8,30,42,601,151,40,725,171,0,-18.400000000000002,79.58,57,0.48,1.5,0.2,317,84.19,-16.400000000000002,1023,7.1971,5.4872,N/A
2018,1,1,9,0,49,726,226,47,809,244,0,-18.1,75.87,25,0.48,1.5,0.2,317,82.77,-15.8,1023,10.9706,8.4176,N/A
2018,1,1,9,30,53,833,302,53,863,311,0,-18.1,72.61,0,0.48,1.5,0.2,317,78.10000000000001,-15.100000000000001,1023,15.0940,11.6462,N/A
2018,1,1,10,0,57,887,362,58,899,367,0,-17.6,69.87,0,0.48,1.5,0.2,317,76.94,-14.4,1023,18.5537,14.3702,N/A
2018,1,1,10,30,60,865,388,61,924,411,0,-17.6,67.72,0,0.48,1.5,0.2,316,73.18,-13.8,1022,20.2582,15.7287,N/A
2018,1,1,11,0,68,825,401,62,940,441,4,-17,66.22,0,0.48,1.6,0.2,314,73.10000000000001,-13.200000000000001,1022,21.1913,16.4772,N/A
2018,1,1,11,30,64,860,422,64,948,458,4,-17,65.42,0,0.48,1.6,0.2,313,70.13,-12.700000000000001,1021,22.4384,17.4592,N/A
2018,1,1,12,0,67,841,418,63,949,459,4,-16.5,65.34,0,0.48,1.6,0.2,312,70.29,-12.200000000000001,1021,22.2391,17.3053,N/A
2018,1,1,12,30,70,802,396,61,943,445,4,-16.5,66,0,0.48,1.6,0.2,311,69.17,-12,1021,20.9629,16.3028,N/A
2018,1,1,13,0,66,800,374,60,929,418,4,-16.2,67.36,0,0.48,1.6,0.2,310,69.51,-11.700000000000001,1021,19.5852,15.2118,N/A
