Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1338709,-,-,-,42.37,-71.1,-5,18,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),
2018,1,1,0,0,0,0,0,0,0,0,0,-17.900000000000002,160.48,0,0.68,1.4000000000000001,0.2,312,87.31,-16.3,1021,0.0000,0.0000,N/A
2018,1,1,0,30,0,0,0,0,0,0,4,-17.900000000000002,158.74,0,0.68,1.4000000000000001,0.2,312,89.53,-16.6,1021,0.0000,0.0000,N/A
2018,1,1,1,0,0,0,0,0,0,0,8,-18.3,155.5,0,0.68,1.4000000000000001,0.2,312,89.18,-16.900000000000002,1021,0.0000,0.0000,N/A
2018,1,1,1,30,0,0,0,0,0,0,8,-18.2,151.28,0,0.68,1.4000000000000001,0.2,313,90.02,-17,1022,0.0000,0.0000,N/A
2018,1,1,2,0,0,0,0,0,0,0,8,-18.400000000000002,146.45000000000002,0,0.68,1.4000000000000001,0.2,313,90.60000000000001,-17.2,1022,0.0000,0.0000,N/A
2018,1,1,2,30,0,0,0,0,0,0,8,-18.400000000000002,141.27,0,0.68,1.4000000000000001,0.2,314,91.36,-17.3,1022,0.0000,0.0000,N/A
2018,1,1,3,0,0,0,0,0,0,0,8,-18.5,135.89000000000001,0,0.68,1.3,0.2,314,90.83,-17.400000000000002,1022,0.0000,0.0000,N/A
2018,1,1,3,30,0,0,0,0,0,0,8,-18.5,130.4,0,0.68,1.4000000000000001,0.2,315,92.37,-17.6,1022,0.0000,0.0000,N/A
2018,1,1,4,0,0,0,0,0,0,0,8,-18.7,124.86,0,0.68,1.4000000000000001,0.2,316,91.55,-17.7,1022,0.0000,0.0000,N/A
2018,1,1,4,30,0,0,0,0,0,0,8,-18.7,119.33,0,0.68,1.4000000000000001,0.2,316,92.33,-17.8,1022,0.0000,0.0000,N/A
2018,1,1,5,0,0,0,0,0,0,0,8,-18.900000000000002,113.84,0,0.68,1.4000000000000001,0.2,317,92.78,-18,1022,0.0000,0.0000,N/A
2018,1,1,5,30,0,0,0,0,0,0,0,-18.900000000000002,108.43,0,0.68,1.4000000000000001,0.2,317,93.57000000000001,-18.1,1022,0.0000,0.0000,N/A
2018,1,1,6,0,0,0,0,0,0,0,0,-19,103.13,0,0.68,1.4000000000000001,0.2,317,93.5,-18.2,1023,0.0000,0.0000,N/A
2018,1,1,6,30,0,0,0,0,0,0,0,-19,97.98,0,0.68,1.4000000000000001,0.2,316,93.5,-18.2,1023,0.0000,0.0000,N/A
2018,1,1,7,0,0,0,0,0,0,0,0,-19.1,93.02,0,0.68,1.4000000000000001,0.2,316,92.98,-18.2,1023,0.0000,0.0000,N/A
2018,1,1,7,30,15,199,22,17,290,27,8,-19.1,87.94,50,0.68,1.4000000000000001,0.2,316,89.12,-17.7,1023,0.0000,0.0000,N/A
2018,1,1,8,0,33,424,80,30,591,95,8,-18.7,83.67,68,0.68,1.4000000000000001,0.2,316,87.22,-17.1,1023,0.0000,0.0000,N/A
2018,1,1,8,30,45,572,148,39,726,170,4,-18.7,79.60000000000001,61,0.68,1.4000000000000001,0.2,317,82.94,-16.5,1023,7.0541,5.3781,N/A
2018,1,1,9,0,50,735,229,45,810,243,0,-18.3,75.88,32,0.68,1.4000000000000001,0.2,317,81.10000000000001,-15.8,1024,11.1154,8.5285,N/A
2018,1,1,9,30,52,859,309,52,864,310,0,-18.3,72.62,0,0.68,1.4000000000000001,0.2,317,77.09,-15.200000000000001,1023,15.4424,11.9148,N/A
2018,1,1,10,0,57,898,366,56,900,366,0,-17.8,69.87,0,0.68,1.4000000000000001,0.2,317,76.11,-14.5,1023,18.7587,14.5290,N/A
2018,1,1,10,30,59,920,408,59,925,410,0,-17.8,67.72,0,0.68,1.4000000000000001,0.2,316,71.87,-13.8,1023,21.3025,16.5395,N/A
2018,1,1,11,0,61,895,422,62,941,441,0,-17.2,66.22,0,0.68,1.4000000000000001,0.2,314,71.95,-13.200000000000001,1023,22.3011,17.3401,N/A
2018,1,1,11,30,61,889,431,62,949,457,0,-17.2,65.42,11,0.68,1.5,0.2,313,69.03,-12.700000000000001,1022,22.9169,17.8316,N/A
